vol,total,correctCanvas,correctCanvas %,correctLine,correctLine %
1,24,23,95.83333333333334,0,0.0
2,45,45,100.0,0,0.0
3,11,11,100.0,0,0.0
4,46,46,100.0,0,0.0
5,45,43,95.55555555555556,0,0.0
6,30,30,100.0,0,0.0
7,27,27,100.0,0,0.0
8,10,10,100.0,0,0.0
9,44,44,100.0,0,0.0
10,47,47,100.0,0,0.0
11,4,4,100.0,0,0.0
12,42,42,100.0,0,0.0
13,38,38,100.0,0,0.0
14,32,32,100.0,0,0.0
15,23,23,100.0,0,0.0
16,5,5,100.0,0,0.0
17,18,18,100.0,0,0.0
18,20,20,100.0,0,0.0
19,29,29,100.0,0,0.0
20,20,20,100.0,0,0.0
21,48,48,100.0,0,0.0
22,39,39,100.0,0,0.0
23,14,14,100.0,0,0.0
sum,661,658,99.54614220877458,0,0.0
