vol,total,correctCanvas,correctCanvas %,correctLine,correctLine %
1,24,24,100.0,0,0.0
2,45,45,100.0,0,0.0
3,11,11,100.0,0,0.0
4,46,46,100.0,0,0.0
5,45,45,100.0,0,0.0
6,30,30,100.0,0,0.0
7,27,27,100.0,0,0.0
8,10,10,100.0,0,0.0
9,44,44,100.0,0,0.0
10,47,47,100.0,0,0.0
11,4,4,100.0,0,0.0
12,42,42,100.0,0,0.0
13,38,38,100.0,0,0.0
14,32,32,100.0,0,0.0
15,23,22,95.65217391304348,0,0.0
16,5,5,100.0,0,0.0
17,18,18,100.0,0,0.0
18,20,20,100.0,0,0.0
19,29,29,100.0,0,0.0
20,20,20,100.0,0,0.0
21,48,48,100.0,0,0.0
22,39,39,100.0,0,0.0
23,14,14,100.0,0,0.0
24,20,20,100.0,0,0.0
25,19,19,100.0,0,0.0
26,21,21,100.0,0,0.0
27,4,4,100.0,0,0.0
28,17,17,100.0,0,0.0
29,27,27,100.0,0,0.0
30,14,14,100.0,0,0.0
31,35,35,100.0,0,0.0
32,18,18,100.0,0,0.0
33,20,20,100.0,0,0.0
34,96,96,100.0,0,0.0
35,96,96,100.0,0,0.0
36,38,38,100.0,0,0.0
37,18,18,100.0,0,0.0
38,14,14,100.0,0,0.0
39,67,67,100.0,0,0.0
40,18,10,55.55555555555556,0,0.0
41,21,21,100.0,0,0.0
42,13,13,100.0,0,0.0
43,12,12,100.0,0,0.0
44,39,39,100.0,0,0.0
45,36,36,100.0,0,0.0
46,35,35,100.0,0,0.0
47,84,84,100.0,0,0.0
48,18,18,100.0,0,0.0
49,87,86,98.85057471264368,0,0.0
50,60,60,100.0,0,0.0
51,67,67,100.0,0,0.0
52,54,54,100.0,0,0.0
53,62,62,100.0,0,0.0
54,16,16,100.0,0,0.0
sum,1807,1797,99.44659656889873,0,0.0
